Season,League,Team,Date,Player,#,Nation,Pos,Age,Min,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
2020-2021,Bundesliga,Stuttgart,2020-09-19,Mateo Klimowicz,31,de GER,"FW,CM",20-075,77,0,0,0,1,1,0,1,0,0,0,0,0,4,0,1,0.0
2020-2021,Bundesliga,Stuttgart,2020-09-19,Hamadi Al Ghaddioui,18,ma MAR,CM,29-363,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
2020-2021,Bundesliga,Stuttgart,2020-09-19,Orel Mangala,23,be BEL,CM,22-185,90,0,0,0,3,1,0,1,0,1,0,0,0,7,1,3,25.0
2020-2021,Bundesliga,Stuttgart,2020-09-19,Gonzalo Castro,8,de GER,CM,33-100,59,0,0,0,1,1,0,2,0,1,0,0,0,15,0,1,0.0
2020-2021,Bundesliga,Stuttgart,2020-09-19,Philipp Klement,21,de GER,"DM,CM",28-010,31,0,0,0,1,1,0,2,0,0,0,0,0,7,1,0,100.0
2020-2021,Bundesliga,Stuttgart,2020-09-19,Wataru Endo,3,jp JPN,"DM,CB",27-223,90,0,0,0,1,3,0,0,1,3,0,0,0,16,4,3,57.1
2020-2021,Bundesliga,Stuttgart,2020-09-19,Silas Wamangituka,14,cd COD,WB,20-349,90,1,0,0,2,2,0,1,0,1,0,0,0,9,0,1,0.0
2020-2021,Bundesliga,Stuttgart,2020-09-19,Roberto Massimo,30,de GER,WB,19-343,77,0,0,0,0,2,0,1,0,3,0,0,0,6,1,0,100.0
2020-2021,Bundesliga,Stuttgart,2020-09-19,Alkhaly Momo Cissé,29,gn GUI,WB,17-338,13,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0.0
2020-2021,Bundesliga,Stuttgart,2020-09-19,Marc-Oliver Kempf,4,de GER,CB,25-235,90,0,0,0,1,2,0,0,0,1,0,0,0,13,5,2,71.4
2020-2021,Bundesliga,Stuttgart,2020-09-19,Marcin Kamiński,35,pl POL,CB,28-248,64,0,0,0,0,0,0,0,0,0,0,0,0,12,5,1,83.3
2020-2021,Bundesliga,Stuttgart,2020-09-19,Sasa Kalajdzic,9,at AUT,"FW,CB",23-074,26,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,100.0
2020-2021,Bundesliga,Stuttgart,2020-09-19,Waldemar Anton,2,de GER,CB,24-061,90,0,0,0,0,2,0,3,0,0,0,0,0,17,1,2,33.3
2020-2021,Bundesliga,Stuttgart,2020-09-19,Gregor Kobel,1,ch SUI,GK,22-288,90,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
2020-2021,Bundesliga,Freiburg,2020-09-19,Lucas Höler,9,de GER,FW,26-071,90,1,0,0,2,3,0,1,3,1,0,0,0,7,3,1,75.0
2020-2021,Bundesliga,Freiburg,2020-09-19,Nils Petersen,18,de GER,FW,31-288,90,0,0,0,2,0,2,0,0,0,0,0,0,2,3,11,21.4
2020-2021,Bundesliga,Freiburg,2020-09-19,Jeong Woo-yeong,29,kr KOR,AM,20-365,87,0,0,0,2,1,0,0,2,2,0,0,0,5,1,0,100.0
2020-2021,Bundesliga,Freiburg,2020-09-19,Manuel Gulde,5,de GER,AM,29-220,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-2021,Bundesliga,Freiburg,2020-09-19,Vincenzo Grifo,32,it ITA,CM,27-165,88,0,0,0,1,0,0,3,0,1,0,0,0,9,1,0,100.0
2020-2021,Bundesliga,Freiburg,2020-09-19,Amir Abrashi,6,al ALB,CM,30-176,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-2021,Bundesliga,Freiburg,2020-09-19,Roland Sallai,22,hu HUN,CM,23-120,76,0,0,0,4,3,1,4,0,1,0,0,0,8,2,2,50.0
2020-2021,Bundesliga,Freiburg,2020-09-19,Kwon Chang-hoon,28,kr KOR,CM,26-081,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
2020-2021,Bundesliga,Freiburg,2020-09-19,Nicolas Höfler,27,de GER,DM,30-194,90,0,0,0,4,1,0,0,2,3,0,0,0,16,1,1,50.0
2020-2021,Bundesliga,Freiburg,2020-09-19,Christian Günter,30,de GER,LB,27-204,90,0,0,0,1,1,0,0,2,1,0,0,0,3,0,1,0.0
2020-2021,Bundesliga,Freiburg,2020-09-19,Dominique Heintz,23,de GER,CB,27-035,90,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1,66.7
2020-2021,Bundesliga,Freiburg,2020-09-19,Philipp Lienhart,3,at AUT,CB,24-070,90,0,0,0,0,2,0,0,3,1,0,0,0,7,0,2,0.0
2020-2021,Bundesliga,Freiburg,2020-09-19,Jonathan Schmid,7,fr FRA,RB,30-085,76,0,0,0,0,1,0,0,1,1,0,0,0,6,1,1,50.0
2020-2021,Bundesliga,Freiburg,2020-09-19,Lukas Kübler,17,de GER,RB,28-020,14,1,0,0,2,0,0,0,0,0,0,0,0,1,2,0,100.0
2020-2021,Bundesliga,Freiburg,2020-09-19,Florian Müller,21,de GER,GK,22-311,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
2020-2021,Bundesliga,Dortmund,2020-09-19,Jadon Sancho,7,eng ENG,FW,20-178,77,0,0,0,0,0,0,0,0,1,0,0,0,5,0,2,0.0
2020-2021,Bundesliga,Dortmund,2020-09-19,Marco Reus,11,de GER,FW,31-111,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-2021,Bundesliga,Dortmund,2020-09-19,Erling Haaland,9,no NOR,FW,20-060,90,0,0,0,1,1,1,0,0,1,0,0,0,4,0,2,0.0
2020-2021,Bundesliga,Dortmund,2020-09-19,Gio Reyna,32,us USA,AM,17-311,77,0,0,0,1,3,1,0,0,0,1,0,0,1,0,0,
2020-2021,Bundesliga,Dortmund,2020-09-19,Julian Brandt,19,de GER,AM,24-140,13,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,
2020-2021,Bundesliga,Dortmund,2020-09-19,Jude Bellingham,22,eng ENG,DM,17-082,66,0,0,0,2,0,0,0,0,1,0,0,0,9,0,0,
2020-2021,Bundesliga,Dortmund,2020-09-19,Thomas Delaney,6,dk DEN,DM,29-016,24,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
2020-2021,Bundesliga,Dortmund,2020-09-19,Axel Witsel,28,be BEL,DM,31-251,90,0,0,0,2,3,0,0,1,1,0,0,0,9,1,1,50.0
2020-2021,Bundesliga,Dortmund,2020-09-19,Thorgan Hazard,10,be BEL,WB,27-174,18,0,0,0,0,0,0,0,1,1,0,0,0,3,0,1,0.0
2020-2021,Bundesliga,Dortmund,2020-09-19,Felix Passlack,30,de GER,WB,22-113,72,0,0,0,1,0,0,0,2,1,0,0,0,6,0,0,
2020-2021,Bundesliga,Dortmund,2020-09-19,Thomas Meunier,24,be BEL,WB,29-007,90,0,0,0,2,0,0,3,0,1,0,0,0,8,0,1,0.0
2020-2021,Bundesliga,Dortmund,2020-09-19,Manuel Akanji,16,ch SUI,CB,25-062,90,1,0,0,1,1,0,0,2,2,0,0,0,8,1,2,33.3
2020-2021,Bundesliga,Dortmund,2020-09-19,Mats Hummels,15,de GER,CB,31-278,90,0,0,0,0,0,0,1,2,1,0,0,0,4,0,2,0.0
2020-2021,Bundesliga,Dortmund,2020-09-19,Emre Can,23,de GER,CB,26-251,90,0,0,0,1,1,0,1,0,1,0,0,0,8,0,0,
2020-2021,Bundesliga,Dortmund,2020-09-19,Roman Bürki,1,ch SUI,GK,29-310,90,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
2020-2021,Bundesliga,M'Gladbach,2020-09-19,Lars Stindl,13,de GER,FW,32-024,56,1,0,0,1,2,0,0,0,1,0,0,0,4,2,0,100.0
2020-2021,Bundesliga,M'Gladbach,2020-09-19,Alassane Pléa,14,fr FRA,"LW,RW",27-193,34,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
2020-2021,Bundesliga,M'Gladbach,2020-09-19,Jonas Hofmann,23,de GER,"LW,AM",28-067,90,0,0,0,1,1,1,0,2,1,0,0,0,5,0,1,0.0
2020-2021,Bundesliga,M'Gladbach,2020-09-19,Hannes Wolf,11,at AUT,RW,21-156,56,0,0,0,0,1,0,0,0,2,0,0,0,2,1,0,100.0
2020-2021,Bundesliga,M'Gladbach,2020-09-19,Marcus Thuram,10,fr FRA,FW,23-044,34,0,0,0,0,1,0,1,1,0,0,0,0,2,2,0,100.0
2020-2021,Bundesliga,M'Gladbach,2020-09-19,Christoph Kramer,6,de GER,CM,29-213,90,0,0,0,2,0,0,0,1,1,0,0,0,6,0,0,
2020-2021,Bundesliga,M'Gladbach,2020-09-19,Florian Neuhaus,32,de GER,CM,23-187,90,0,0,0,0,3,0,0,1,2,0,0,0,8,0,0,
2020-2021,Bundesliga,M'Gladbach,2020-09-19,Oscar Wendt,17,se SWE,WB,34-331,68,0,0,0,0,0,1,2,0,0,0,0,0,2,1,0,100.0
2020-2021,Bundesliga,M'Gladbach,2020-09-19,Patrick Herrmann,7,de GER,RW,29-220,22,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
2020-2021,Bundesliga,M'Gladbach,2020-09-19,Stefan Lainer,18,at AUT,"WB,RB",28-023,90,0,0,0,2,0,1,1,0,1,0,0,0,5,1,1,50.0
2020-2021,Bundesliga,M'Gladbach,2020-09-19,Ramy Bensebaini,25,dz ALG,"CB,LB",25-156,90,0,0,0,2,1,0,1,1,1,0,1,0,11,2,0,100.0
2020-2021,Bundesliga,M'Gladbach,2020-09-19,Nico Elvedi,30,ch SUI,CB,23-355,90,0,0,0,1,0,0,1,0,0,0,0,0,7,2,0,100.0
2020-2021,Bundesliga,M'Gladbach,2020-09-19,Matthias Ginter,28,de GER,CB,26-244,90,0,0,0,0,1,0,2,0,0,0,0,0,9,0,0,
2020-2021,Bundesliga,M'Gladbach,2020-09-19,Yann Sommer,1,ch SUI,GK,31-277,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
2020-2021,Bundesliga,RB Leipzig,2020-09-20,Yussuf Poulsen,9,dk DEN,FW,26-097,90,1,0,0,0,3,0,0,2,0,0,0,0,5,6,0,100.0
2020-2021,Bundesliga,RB Leipzig,2020-09-20,Emil Forsberg,10,se SWE,LW,28-333,76,0,0,0,1,0,0,1,1,0,0,0,0,5,1,0,100.0
2020-2021,Bundesliga,RB Leipzig,2020-09-20,Christopher Nkunku,18,fr FRA,LW,22-311,14,0,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0.0
2020-2021,Bundesliga,RB Leipzig,2020-09-20,Dani Olmo,25,es ESP,RW,22-136,68,0,0,0,0,4,0,0,1,0,1,0,0,6,0,2,0.0
2020-2021,Bundesliga,RB Leipzig,2020-09-20,Hwang Hee-chan,11,kr KOR,RW,24-238,22,0,0,0,0,1,0,2,0,0,0,0,0,4,0,0,
2020-2021,Bundesliga,RB Leipzig,2020-09-20,Kevin Kampl,44,si SVN,DM,29-347,76,0,0,0,1,1,0,0,0,0,0,0,0,15,2,0,100.0
2020-2021,Bundesliga,RB Leipzig,2020-09-20,Benjamin Henrichs,39,de GER,DM,23-210,14,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,
2020-2021,Bundesliga,RB Leipzig,2020-09-20,Tyler Adams,14,us USA,DM,21-219,90,0,0,0,1,1,0,0,0,3,0,0,0,14,0,1,0.0
2020-2021,Bundesliga,RB Leipzig,2020-09-20,Angeliño,3,es ESP,WB,23-260,90,0,0,0,0,2,0,5,0,1,0,0,0,4,0,2,0.0
2020-2021,Bundesliga,RB Leipzig,2020-09-20,Amadou Haidara,8,ml MLI,WB,22-233,89,0,0,0,0,1,1,3,1,1,0,0,0,12,1,0,100.0
2020-2021,Bundesliga,RB Leipzig,2020-09-20,Nordi Mukiele,22,fr FRA,WB,22-324,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-2021,Bundesliga,RB Leipzig,2020-09-20,Marcel Halstenberg,23,de GER,CB,28-359,90,0,0,0,1,1,0,0,0,1,0,0,0,14,2,1,66.7
2020-2021,Bundesliga,RB Leipzig,2020-09-20,Dayot Upamecano,5,fr FRA,CB,21-329,90,0,0,0,0,0,0,0,1,4,0,0,0,13,1,0,100.0
2020-2021,Bundesliga,RB Leipzig,2020-09-20,Lukas Klostermann,16,de GER,CB,24-110,90,0,0,0,0,0,0,0,0,3,0,0,0,9,1,0,100.0
2020-2021,Bundesliga,RB Leipzig,2020-09-20,Péter Gulácsi,1,hu HUN,GK,30-137,90,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
2020-2021,Bundesliga,Mainz 05,2020-09-20,Jean-Philippe Mateta,9,fr FRA,FW,23-084,89,1,0,0,1,0,3,0,0,0,0,0,0,6,0,1,0.0
2020-2021,Bundesliga,Mainz 05,2020-09-20,Paul Nebel,26,de GER,FW,17-346,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2020-2021,Bundesliga,Mainz 05,2020-09-20,Karim Onisiwo,21,at AUT,LW,28-187,86,0,0,0,0,0,0,1,1,2,0,0,0,5,0,2,0.0
2020-2021,Bundesliga,Mainz 05,2020-09-20,Issah Abbas,22,gh GHA,LW,21-360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-2021,Bundesliga,Mainz 05,2020-09-20,Jonathan Burkardt,29,de GER,RW,20-071,67,0,0,0,0,1,0,0,0,0,0,0,0,5,1,2,33.3
2020-2021,Bundesliga,Mainz 05,2020-09-20,Levin Öztunalı,8,de GER,RW,24-189,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2020-2021,Bundesliga,Mainz 05,2020-09-20,Robin Quaison,7,se SWE,AM,26-347,67,0,0,0,0,0,0,0,0,1,0,0,0,4,1,1,50.0
2020-2021,Bundesliga,Mainz 05,2020-09-20,Jean-Paul Boëtius,5,nl NED,AM,26-182,23,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,
2020-2021,Bundesliga,Mainz 05,2020-09-20,Danny Latza,6,de GER,DM,30-288,85,1,0,0,2,0,0,0,2,0,0,0,0,12,3,0,100.0
2020-2021,Bundesliga,Mainz 05,2020-09-20,Niklas Tauer,25,de GER,DM,19-216,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
2020-2021,Bundesliga,Mainz 05,2020-09-20,Leandro Barreiro Martins,35,lu LUX,DM,20-261,90,0,0,0,3,0,0,0,0,2,0,1,0,9,0,0,
2020-2021,Bundesliga,Mainz 05,2020-09-20,Daniel Brosinski,18,de GER,LB,32-065,90,0,0,0,2,0,0,3,0,0,0,0,0,8,0,3,0.0
2020-2021,Bundesliga,Mainz 05,2020-09-20,Moussa Niakhate,19,fr FRA,CB,24-196,90,0,0,0,3,0,0,0,0,0,0,0,0,10,0,3,0.0
2020-2021,Bundesliga,Mainz 05,2020-09-20,Jerry St. Juste,4,nl NED,CB,23-337,90,0,0,0,3,0,0,1,4,1,0,0,0,8,0,1,0.0
2020-2021,Bundesliga,Mainz 05,2020-09-20,Ridle Baku,34,de GER,RB,22-165,90,0,0,0,1,3,0,1,1,2,0,0,0,7,1,1,50.0
2020-2021,Bundesliga,Mainz 05,2020-09-20,Robin Zentner,27,de GER,GK,25-328,90,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
2020-2021,Bundesliga,Wolfsburg,2020-09-20,Wout Weghorst,9,nl NED,FW,28-044,90,0,0,0,0,0,0,0,0,0,0,0,0,7,3,1,75.0
2020-2021,Bundesliga,Wolfsburg,2020-09-20,João Victor Santos Sá,40,br BRA,LW,26-177,77,0,0,0,1,2,2,0,0,3,0,0,0,7,0,1,0.0
2020-2021,Bundesliga,Wolfsburg,2020-09-20,Yannick Gerhardt,31,de GER,LW,26-191,13,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,
2020-2021,Bundesliga,Wolfsburg,2020-09-20,Josip Brekalo,7,hr CRO,RW,22-089,90,0,0,0,1,0,0,3,0,3,0,0,0,4,0,1,0.0
2020-2021,Bundesliga,Wolfsburg,2020-09-20,Xaver Schlager,24,at AUT,CM,22-358,90,1,0,0,3,0,0,0,1,8,0,0,0,15,2,3,40.0
2020-2021,Bundesliga,Wolfsburg,2020-09-20,Admir Mehmedi,14,ch SUI,CM,29-188,68,0,0,0,3,2,1,2,1,2,0,0,0,5,0,3,0.0
2020-2021,Bundesliga,Wolfsburg,2020-09-20,Felix Klaus,11,de GER,CM,28-007,22,0,0,0,1,0,0,0,0,4,0,0,0,3,1,1,50.0
2020-2021,Bundesliga,Wolfsburg,2020-09-20,Maximilian Arnold,27,de GER,DM,26-116,90,0,0,0,1,2,0,0,0,2,0,0,0,15,0,2,0.0
2020-2021,Bundesliga,Wolfsburg,2020-09-20,Jérôme Roussillon,15,fr FRA,LB,27-258,69,0,0,0,0,2,0,0,0,1,0,0,0,5,0,1,0.0
2020-2021,Bundesliga,Wolfsburg,2020-09-20,Paulo Otávio,6,br BRA,LB,25-302,21,0,0,0,0,1,0,0,0,1,0,0,0,3,0,1,0.0
2020-2021,Bundesliga,Wolfsburg,2020-09-20,John Brooks,25,us USA,CB,27-236,90,0,0,0,1,0,0,0,1,0,0,0,0,11,0,1,0.0
2020-2021,Bundesliga,Wolfsburg,2020-09-20,Maxence Lacroix,4,fr FRA,CB,20-167,90,0,0,0,2,1,0,0,1,3,0,0,0,17,1,2,33.3
2020-2021,Bundesliga,Wolfsburg,2020-09-20,Renato Steffen,8,ch SUI,RB,28-322,90,0,0,0,3,2,0,3,0,1,0,0,0,8,1,0,100.0
2020-2021,Bundesliga,Wolfsburg,2020-09-20,Koen Casteels,1,be BEL,GK,28-087,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
2020-2021,Bundesliga,Leverkusen,2020-09-20,Lucas Alario,13,ar ARG,FW,27-348,62,0,0,0,0,1,1,0,0,1,0,0,0,2,2,1,66.7
2020-2021,Bundesliga,Leverkusen,2020-09-20,Patrik Schick,14,cz CZE,FW,24-240,28,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,100.0
2020-2021,Bundesliga,Leverkusen,2020-09-20,Moussa Diaby,19,fr FRA,LM,21-075,90,0,0,0,0,1,1,3,0,0,0,0,0,8,0,0,
2020-2021,Bundesliga,Leverkusen,2020-09-20,Kerem Demirbay,10,de GER,CM,27-079,62,0,0,0,3,1,0,0,0,2,0,0,0,11,1,1,50.0
2020-2021,Bundesliga,Leverkusen,2020-09-20,Nadiem Amiri,11,de GER,CM,23-329,28,0,0,0,0,2,0,1,0,0,0,0,0,2,0,1,0.0
2020-2021,Bundesliga,Leverkusen,2020-09-20,Florian Wirtz,27,de GER,CM,17-140,84,0,0,0,0,2,0,0,0,2,0,0,0,10,1,0,100.0
2020-2021,Bundesliga,Leverkusen,2020-09-20,Julian Baumgartlinger,15,at AUT,CM,32-262,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
2020-2021,Bundesliga,Leverkusen,2020-09-20,Karim Bellarabi,38,de GER,RM,30-165,84,0,0,0,3,2,1,5,0,0,0,0,0,8,0,1,0.0
2020-2021,Bundesliga,Leverkusen,2020-09-20,Joel Pohjanpalo,17,fi FIN,RM,26-007,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-2021,Bundesliga,Leverkusen,2020-09-20,Charles Aránguiz,20,cl CHI,DM,31-156,90,1,0,0,4,3,0,0,3,0,0,0,0,16,2,1,66.7
2020-2021,Bundesliga,Leverkusen,2020-09-20,Daley Sinkgraven,22,nl NED,LB,25-078,75,0,0,0,0,2,0,2,0,0,0,0,0,14,1,0,100.0
2020-2021,Bundesliga,Leverkusen,2020-09-20,Wendell,18,br BRA,LB,27-062,15,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
2020-2021,Bundesliga,Leverkusen,2020-09-20,Edmond Tapsoba,12,bf BFA,CB,21-231,90,0,0,0,0,0,0,0,0,2,0,0,0,17,3,1,75.0
2020-2021,Bundesliga,Leverkusen,2020-09-20,Sven Bender,5,de GER,CB,31-146,90,0,0,0,0,2,0,1,0,1,0,0,0,16,2,2,50.0
2020-2021,Bundesliga,Leverkusen,2020-09-20,Lars Bender,8,de GER,RB,31-146,90,0,0,0,0,0,0,1,0,1,0,0,0,15,3,0,100.0
2020-2021,Bundesliga,Leverkusen,2020-09-20,Lukáš Hrádecký,1,fi FIN,GK,30-301,90,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
2020-2021,Bundesliga,Hertha BSC,2020-09-25,Matheus Cunha,10,br BRA,FW,21-121,90,1,0,0,1,2,0,3,1,0,0,0,0,13,0,1,0.0
2020-2021,Bundesliga,Hertha BSC,2020-09-25,Krzysztof Piątek,9,pl POL,FW,25-086,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-2021,Bundesliga,Hertha BSC,2020-09-25,Jhon Córdoba,15,co COL,FW,27-137,45,0,0,0,2,0,0,0,0,0,0,0,0,1,1,4,20.0
2020-2021,Bundesliga,Hertha BSC,2020-09-25,Dodi Lukebakio,11,be BEL,AM,23-001,82,0,0,0,1,3,1,3,0,1,0,0,0,1,1,2,33.3
2020-2021,Bundesliga,Hertha BSC,2020-09-25,Daishawn Redan,33,nl NED,AM,19-236,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-2021,Bundesliga,Hertha BSC,2020-09-25,Lucas Tousart,29,fr FRA,CM,23-149,90,1,0,0,2,3,0,1,0,1,0,0,0,11,4,3,57.1
2020-2021,Bundesliga,Hertha BSC,2020-09-25,Vladimír Darida,6,cz CZE,CM,30-048,45,0,0,0,0,1,0,4,0,0,0,0,0,7,0,2,0.0
2020-2021,Bundesliga,Hertha BSC,2020-09-25,Arne Maier,23,de GER,CM,21-261,20,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
2020-2021,Bundesliga,Hertha BSC,2020-09-25,Marvin Plattenhardt,21,de GER,LB,28-243,25,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,
2020-2021,Bundesliga,Hertha BSC,2020-09-25,Niklas Stark,5,de GER,DM,25-164,90,0,0,0,3,2,0,1,1,0,0,0,0,13,2,2,50.0
2020-2021,Bundesliga,Hertha BSC,2020-09-25,Maximilian Mittelstädt,17,de GER,"LB,CM",23-191,90,0,0,0,0,1,0,5,0,2,0,0,0,12,0,1,0.0
2020-2021,Bundesliga,Hertha BSC,2020-09-25,Jordan Torunarigha,25,de GER,CB,23-049,90,0,0,0,1,1,0,1,2,0,0,0,0,9,1,4,20.0
2020-2021,Bundesliga,Hertha BSC,2020-09-25,Dedryck Boyata,20,be BEL,CB,29-302,90,1,0,0,2,0,0,0,1,0,0,1,0,14,4,2,66.7
2020-2021,Bundesliga,Hertha BSC,2020-09-25,Peter Pekarík,2,sk SVK,RB,33-331,45,0,0,0,0,0,0,1,0,0,0,0,0,8,0,2,0.0
2020-2021,Bundesliga,Hertha BSC,2020-09-25,Deyovaisio Zeefuik,42,nl NED,RB,22-198,45,0,0,0,0,3,0,1,1,1,0,0,0,8,0,1,0.0
2020-2021,Bundesliga,Hertha BSC,2020-09-25,Alexander Schwolow,1,de GER,GK,28-115,90,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
2020-2021,Bundesliga,Eint Frankfurt,2020-09-25,Bas Dost,9,nl NED,FW,31-117,65,0,0,0,1,0,0,0,0,3,0,0,0,3,8,2,80.0
2020-2021,Bundesliga,Eint Frankfurt,2020-09-25,Ragnar Ache,21,de GER,FW,22-059,25,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,100.0
2020-2021,Bundesliga,Eint Frankfurt,2020-09-25,André Silva,33,pt POR,FW,24-324,84,0,0,0,0,5,0,1,0,0,1,0,0,5,2,3,40.0
2020-2021,Bundesliga,Eint Frankfurt,2020-09-25,Aymen Barkok,27,ma MAR,"AM,FW",22-127,6,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,
2020-2021,Bundesliga,Eint Frankfurt,2020-09-25,Daichi Kamada,15,jp JPN,AM,24-051,90,1,0,0,1,3,0,2,1,2,0,0,0,12,0,2,0.0
2020-2021,Bundesliga,Eint Frankfurt,2020-09-25,Stefan Ilsanker,3,at AUT,DM,31-130,90,1,0,0,5,0,0,0,0,2,0,0,0,16,1,2,33.3
2020-2021,Bundesliga,Eint Frankfurt,2020-09-25,Sebastian Rode,17,de GER,DM,29-350,84,1,0,0,3,3,0,0,0,2,0,0,0,8,2,1,66.7
2020-2021,Bundesliga,Eint Frankfurt,2020-09-25,Djibril Sow,8,ch SUI,DM,23-232,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
2020-2021,Bundesliga,Eint Frankfurt,2020-09-25,Filip Kostić,10,rs SRB,WB,27-329,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2020-2021,Bundesliga,Eint Frankfurt,2020-09-25,Steven Zuber,11,ch SUI,WB,29-039,76,0,0,0,1,1,0,0,0,2,0,0,0,9,0,0,
2020-2021,Bundesliga,Eint Frankfurt,2020-09-25,Almamy Touré,18,ml MLI,WB,24-150,65,1,0,0,1,0,0,4,0,0,0,0,0,3,1,1,50.0
2020-2021,Bundesliga,Eint Frankfurt,2020-09-25,Danny da Costa,24,de GER,WB,27-074,25,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,100.0
2020-2021,Bundesliga,Eint Frankfurt,2020-09-25,Martin Hinteregger,13,at AUT,CB,28-018,90,0,0,0,2,1,0,0,0,3,0,0,1,10,1,0,100.0
2020-2021,Bundesliga,Eint Frankfurt,2020-09-25,Makoto Hasebe,20,jp JPN,CB,36-251,90,0,0,0,0,0,0,0,0,2,0,0,0,7,0,1,0.0
2020-2021,Bundesliga,Eint Frankfurt,2020-09-25,David Abraham,19,ar ARG,CB,34-072,90,0,0,0,0,0,0,0,0,1,0,0,0,13,3,1,75.0
2020-2021,Bundesliga,Eint Frankfurt,2020-09-25,Kevin Trapp,1,de GER,GK,30-079,90,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
2020-2021,Bundesliga,Mainz 05,2020-09-26,Jean-Philippe Mateta,9,fr FRA,FW,23-090,85,0,0,0,0,1,1,0,0,1,0,0,0,3,0,2,0.0
2020-2021,Bundesliga,Mainz 05,2020-09-26,Paul Nebel,26,de GER,"FW,RW",17-352,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2020-2021,Bundesliga,Mainz 05,2020-09-26,Robin Quaison,7,se SWE,LW,26-353,90,0,0,0,1,3,0,1,0,0,0,0,0,4,0,0,
2020-2021,Bundesliga,Mainz 05,2020-09-26,Karim Onisiwo,21,at AUT,RW,28-193,90,0,0,0,0,1,0,0,0,1,0,0,0,9,3,1,75.0
2020-2021,Bundesliga,Mainz 05,2020-09-26,Jean-Paul Boëtius,5,nl NED,AM,26-188,81,0,0,0,0,4,0,0,1,0,0,0,0,8,0,1,0.0
2020-2021,Bundesliga,Mainz 05,2020-09-26,Alexander Hack,42,de GER,"AM,CB",27-018,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-2021,Bundesliga,Mainz 05,2020-09-26,Danny Latza,6,de GER,DM,30-294,90,0,0,0,3,0,0,1,3,4,0,0,0,17,2,1,66.7
2020-2021,Bundesliga,Mainz 05,2020-09-26,Leandro Barreiro Martins,35,lu LUX,DM,20-267,68,0,0,0,0,2,0,0,0,5,0,0,0,12,0,2,0.0
2020-2021,Bundesliga,Mainz 05,2020-09-26,Levin Öztunalı,8,de GER,DM,24-195,22,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,
