League,Season,Team_Home,Date,game_id,Goal_Home,Win_Home,o_rating_Home,d_rating_Home,Team_Away,Goal_Away,Win_Away,o_rating_Away,d_rating_Away
EPL,2017-2018,Brighton,2017-09-09,1172,3.0,1,0.9052796,0.93598217,West Brom,1.0,0,0.91224813,0.8896049
EPL,2017-2018,Leicester City,2017-09-09,1173,1.0,0,0.8051119,1.0492852,Chelsea,2.0,1,0.85324526,0.8885965
EPL,2017-2018,Everton,2017-09-09,1174,0.0,0,0.7184834,1.0296637,Tottenham,3.0,1,1.1667072,0.9710137
EPL,2017-2018,Arsenal,2017-09-09,1175,3.0,1,1.4416686,0.93371624,Bournemouth,0.0,0,0.83224326,1.3438483
EPL,2017-2018,Stoke City,2017-09-09,1176,2.0,0,0.81291914,1.0232654,Manchester Utd,2.0,0,1.251992,0.8257907
SerieA,2017-2018,Juventus,2017-09-09,5434,3.0,1,1.4020622,0.6987096,Chievo,0.0,0,0.79503,1.0841781
LaLiga,2017-2018,Athletic Club,2017-09-10,6960,2.0,1,0.75932235,1.2036147,Girona,0.0,0,1.0054299,1.035177
Bundesliga,2017-2018,Schalke 04,2017-09-10,3992,3.0,1,1.0643735,1.0553207,Stuttgart,1.0,0,1.347409,0.78818077
LaLiga,2017-2018,Celta Vigo,2017-09-10,6961,1.0,1,1.2884986,0.9347909,Alavés,0.0,0,0.84280884,1.0430353
LaLiga,2017-2018,Villarreal,2017-09-10,6962,3.0,1,2.161452,0.88051397,Betis,1.0,0,1.0298474,1.1987774
Ligue1,2017-2018,Marseille,2017-09-10,2711,1.0,0,1.4198925,0.85344493,Rennes,3.0,1,1.6427085,0.97947174
Ligue1,2017-2018,Lyon,2017-09-10,2710,2.0,1,1.2171423,1.0866053,Guingamp,1.0,0,1.0634708,0.8575002
Ligue1,2017-2018,Saint-Étienne,2017-09-10,2709,1.0,0,1.3778796,1.1078497,Angers,1.0,0,1.620513,0.9071952
SerieA,2017-2018,Bologna,2017-09-10,5442,0.0,0,0.7096343,1.0580466,Napoli,3.0,1,2.7705877,0.7059567
SerieA,2017-2018,Benevento,2017-09-10,5441,0.0,0,1.1954291,0.91095185,Torino,1.0,1,1.401931,1.0436256
SerieA,2017-2018,Lazio,2017-09-10,5440,4.0,1,1.346757,0.9942685,Milan,1.0,0,0.7840315,0.8672878
SerieA,2017-2018,Atalanta,2017-09-10,5439,2.0,1,0.8781327,0.9092192,Sassuolo,1.0,0,0.7925409,0.79229146
SerieA,2017-2018,Udinese,2017-09-10,5438,1.0,1,0.82254326,1.1806016,Genoa,0.0,0,1.0169772,0.90219617
SerieA,2017-2018,Cagliari,2017-09-10,5437,1.0,1,0.8243235,1.0046201,Crotone,0.0,0,0.83987564,0.8555002
SerieA,2017-2018,Hellas Verona,2017-09-10,5436,0.0,0,0.8440487,1.0226521,Fiorentina,5.0,1,2.2822497,0.8195599
Bundesliga,2017-2018,Hertha BSC,2017-09-10,3991,1.0,0,0.8540321,1.0686045,Werder Bremen,1.0,0,0.7843511,1.1474059
