0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
45,Ross Barkley,eng ENG,MF,Aston Villa,27-140,1993,20,14,"1,220",13.6,3,1,3,0,0,0,0,0.22,0.07,0.30,0.22,0.30,3.0,3.0,3.2,6.2,0.22,0.24,0.46,0.22,0.46,Matches
46,Ashley Barnes,eng ENG,FW,Burnley,31-176,1989,18,15,"1,293",14.4,3,0,2,1,1,4,0,0.21,0.00,0.21,0.14,0.14,4.9,4.2,0.7,4.8,0.34,0.05,0.39,0.29,0.34,Matches
47,Harvey Barnes,eng ENG,"FW,MF",Leicester City,23-136,1997,25,22,"1,945",21.6,9,4,9,0,0,0,0,0.42,0.19,0.60,0.42,0.60,6.2,6.2,1.5,7.7,0.29,0.07,0.35,0.29,0.35,Matches
48,Kyle Bartley,eng ENG,DF,West Brom,29-337,1991,24,22,"2,044",22.7,3,1,3,0,0,4,0,0.13,0.04,0.18,0.13,0.18,1.8,1.8,0.2,2.0,0.08,0.01,0.09,0.08,0.09,Matches
49,Chris Basham,eng ENG,"DF,MF",Sheffield Utd,32-278,1988,26,26,"2,126",23.6,0,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,0.6,0.6,0.7,1.3,0.03,0.03,0.06,0.03,0.06,Matches
50,Michy Batshuayi,be BEL,FW,Crystal Palace,27-204,1993,17,7,709,7.9,2,1,2,0,0,0,0,0.25,0.13,0.38,0.25,0.38,1.4,1.4,1.4,2.8,0.18,0.18,0.36,0.18,0.36,Matches
51,Jan Bednarek,pl POL,DF,Southampton,25-012,1996,32,32,"2,785",30.9,1,1,1,0,0,3,1,0.03,0.03,0.06,0.03,0.06,0.9,0.9,0.3,1.3,0.03,0.01,0.04,0.03,0.04,Matches
52,Donny van de Beek,nl NED,"MF,FW",Manchester Utd,24-006,1997,15,2,338,3.8,1,1,1,0,0,1,0,0.27,0.27,0.53,0.27,0.53,0.3,0.3,1.0,1.3,0.07,0.27,0.34,0.07,0.34,Matches
53,Héctor Bellerín,es ESP,DF,Arsenal,26-036,1995,23,23,"1,977",22.0,1,2,1,0,0,8,0,0.05,0.09,0.14,0.05,0.14,0.7,0.7,2.3,3.0,0.03,0.11,0.14,0.03,0.14,Matches
54,Saïd Benrahma,dz ALG,"MF,FW",West Ham,25-257,1995,24,11,"1,100",12.2,0,4,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,1.8,1.8,2.8,4.5,0.14,0.23,0.37,0.14,0.37,Matches
55,Josh Benson,eng ENG,MF,Burnley,21-140,1999,6,2,264,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.06,0.00,0.06,0.06,0.06,Matches
56,Christian Benteke,be BEL,FW,Crystal Palace,30-142,1990,24,15,"1,325",14.7,6,1,6,0,0,2,1,0.41,0.07,0.48,0.41,0.48,5.1,5.1,0.9,6.0,0.35,0.06,0.41,0.35,0.41,Matches
57,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30-179,1990,18,14,"1,148",12.8,2,0,2,0,0,1,0,0.16,0.00,0.16,0.16,0.16,1.5,1.5,0.4,1.8,0.11,0.03,0.14,0.11,0.14,Matches
58,Sander Berge,no NOR,MF,Sheffield Utd,23-069,1998,13,12,"1,016",11.3,1,1,0,1,1,4,0,0.09,0.09,0.18,0.00,0.09,1.2,0.5,1.2,1.7,0.11,0.11,0.22,0.04,0.15,Matches
59,Steven Bergwijn,nl NED,"FW,MF",Tottenham,23-198,1997,18,11,"1,054",11.7,0,2,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,1.7,1.7,1.1,2.8,0.15,0.09,0.24,0.15,0.24,Matches
60,Bernard,br BRA,"FW,MF",Everton,28-228,1992,9,3,395,4.4,1,0,1,0,0,2,0,0.23,0.00,0.23,0.23,0.23,0.2,0.2,0.6,0.8,0.05,0.13,0.18,0.05,0.18,Matches
61,Bernardo,br BRA,"DF,MF",Brighton,25-345,1995,3,2,206,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.13,0.09,0.22,0.13,0.22,Matches
62,Ryan Bertrand,eng ENG,DF,Southampton,31-262,1989,29,29,"2,598",28.9,0,1,0,0,0,5,0,0.00,0.03,0.03,0.00,0.03,0.6,0.6,1.2,1.8,0.02,0.04,0.06,0.02,0.06,Matches
63,Yves Bissouma,ml MLI,MF,Brighton,24-237,1996,30,29,"2,572",28.6,1,0,1,0,0,6,1,0.03,0.00,0.03,0.03,0.03,0.9,0.9,0.6,1.5,0.03,0.02,0.05,0.03,0.05,Matches
