League,Season,Team_Home,Date,game_id,Goal_Home,Win_Home,o_rating_Home,d_rating_Home,Team_Away,Goal_Away,Win_Away,o_rating_Away,d_rating_Away
Ligue1,2017-2018,Caen,2017-09-09,2708,2.0,1,0.27296472,0.93823016,Dijon,1.0,0,0.34701127,0.77617604
Ligue1,2017-2018,Troyes,2017-09-09,2707,0.0,0,0.17829755,1.265686,Toulouse,0.0,0,0.7087919,1.5481455
LaLiga,2017-2018,Real Madrid,2017-09-09,6955,1.0,0,0.9049629,1.4593911,Levante,1.0,0,0.3208174,0.9338609
Ligue1,2017-2018,Nice,2017-09-09,2704,4.0,1,0.80638087,1.4498458,Monaco,0.0,0,0.10775054,1.093031
EPL,2017-2018,Manchester City,2017-09-09,1170,5.0,1,0.9795905,1.3662679,Liverpool,0.0,0,0.21562624,1.3673377
EPL,2017-2018,Southampton,2017-09-09,1171,0.0,0,0.0,0.8170923,Watford,2.0,1,0.32629517,0.77617604
EPL,2017-2018,Brighton,2017-09-09,1172,3.0,1,0.07675991,0.8658528,West Brom,1.0,0,0.6595188,1.1684449
EPL,2017-2018,Leicester City,2017-09-09,1173,1.0,0,0.0,1.0156301,Chelsea,2.0,1,1.2617855,1.3788248
EPL,2017-2018,Everton,2017-09-09,1174,0.0,0,0.2949671,1.2285264,Tottenham,3.0,1,0.93596345,0.7896431
EPL,2017-2018,Arsenal,2017-09-09,1175,3.0,1,1.1850642,0.9734712,Bournemouth,0.0,0,0.22942838,1.3857715
EPL,2017-2018,Stoke City,2017-09-09,1176,2.0,0,0.19398746,0.99560046,Manchester Utd,2.0,0,1.367745,1.2059704
SerieA,2017-2018,Juventus,2017-09-09,5434,3.0,1,2.1426144,1.6056507,Chievo,0.0,0,0.1993296,1.1109717
LaLiga,2017-2018,Athletic Club,2017-09-10,6960,2.0,1,0.19013523,1.4343534,Girona,0.0,0,0.102146305,1.133668
Bundesliga,2017-2018,Schalke 04,2017-09-10,3992,3.0,1,0.33886123,1.0209049,Stuttgart,1.0,0,1.511493,1.342704
LaLiga,2017-2018,Celta Vigo,2017-09-10,6961,1.0,1,0.9189433,1.2426955,Alavés,0.0,0,0.25749168,1.2512691
LaLiga,2017-2018,Villarreal,2017-09-10,6962,3.0,1,1.9926611,1.2195101,Betis,1.0,0,0.90470725,1.6908268
Ligue1,2017-2018,Marseille,2017-09-10,2711,1.0,0,0.89180994,1.0148216,Rennes,3.0,1,1.3179636,0.77617604
Ligue1,2017-2018,Lyon,2017-09-10,2710,2.0,1,1.345422,1.010887,Guingamp,1.0,0,0.2974019,0.77617604
Ligue1,2017-2018,Saint-Étienne,2017-09-10,2709,1.0,0,0.8596257,1.3855262,Angers,1.0,0,1.1329268,1.1224147
SerieA,2017-2018,Bologna,2017-09-10,5442,0.0,0,0.0,1.1381783,Napoli,3.0,1,3.1975608,1.7034252
SerieA,2017-2018,Benevento,2017-09-10,5441,0.0,0,0.5139379,0.79845077,Torino,1.0,1,1.8645842,1.7308626
SerieA,2017-2018,Lazio,2017-09-10,5440,4.0,1,0.5354015,0.94811106,Milan,1.0,0,0.40579355,1.0707941
SerieA,2017-2018,Atalanta,2017-09-10,5439,2.0,1,0.11364448,0.788213,Sassuolo,1.0,0,0.43194067,0.8572073
